MES,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII
JULIO,"0,5","0,5",0,"0,0","15,0","0,5","0,0","0,0","48,2","2,1","0,0","0,8","0,0","0,0","0,0","0,0"
AGOSTO,"3,21","0,217","0,121","0,2","22,8","201,7","5,5","6,1","11,4","0,0","0,0","2,0","0,0","0,0","5,2","11,9"
SEPTIEMBRE,"0,6",0,"0,113","0,0","6,0","165,0","288,6","45,3","2,2","3,9","110,1","86,6","0,7","3,7","0,0","0,0"
OCTUBRE,0,1,"0,012","3,5","13,1","325,9","86,4","24,7","25,4","3,9","46,4","116,0","21,9","13,6","4,3","0,0"
NOVIEMBRE,0,"5,061","3,772","24,0","160,3","4.540,8","307,1","373,8","282,5","5,9","209,8","659,8","9,6","21,8","0,0","0,0"
DICIEMBRE,"0,52",0,"50,085","21,4","2,0","1.437,3","2.594,7","1.282,6","1.930,9","74,8","983,5","684,6","4,0","8,6","0,1","0,0"
ENERO,0,0,0,"0,0","3,9","115,5","23,6","210,1","1.166,9","1.148,7","7.727,9","10.686,8","126,7","13,5","0,0","0,1"
FEBRERO,0,0,"0,15","2,0","1,2","91,0","70,3","2.388,6","17.287,9","562,8","4.429,5","13.773,9","374,9","90,5","0,0","0,0"
MARZO,0,0,0,"0,1","3,8","55,4","26,7","121,6","502,4","263,0","1.905,7","13.651,0","43,9","26,5","0,0","11,2"
ABRIL,0,0,0,"0,2","0,0","34,0","46,4","155,3","1.854,3","281,0","1.280,1","2.150,9","4,8","4,2","0,1","0,0"
MAYO,18,0,0,"0,0","1,8","1.817,4","10,6","13,4","115,8","40,7","3,0","3,5","0,0","0,0","0,0","0,0"
JUNIO,0,0,0,"0,0","0,0","53,0","0,2","0,0","53,2","0,0","0,0","0,1","0,0","0,0","26,0","0,0"
