MES,III,IV,V,RM,VI,VII,VIII,IX,XIV,X,XI,XII,TOTAL
JULIO,,,15,1,1,3,1,,,,,,21
AGOSTO,,,8,1,1,1,2,,,,1,,14
SEPTIEMBRE,,4,12,2,5,4,12,2,1,,,2,44
OCTUBRE,,1,8,,,5,29,4,1,3,4,1,56
NOVIEMBRE,3,2,48,28,12,30,112,37,3,13,8,1,297
DICIEMBRE,3,20,149,81,38,148,352,81,13,19,9,2,915
ENERO,3,22,192,40,51,159,618,239,42,61,15,11,1.453
FEBRERO,10,35,193,72,46,229,790,444,52,107,8,5,1.991
MARZO,3,9,94,40,39,172,671,473,62,109,3,2,1.677
ABRIL,2,3,35,4,12,45,103,60,7,15,1,1,288
MAYO,2,,5,3,,,1,3,2,6,,,22
JUNIO,1,,1,2,,,,1,,,1,,6
